"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",153,94,8,22,16,15,153,"hefei","2015-05-17"
"fuzhou",80,47,95,22,2,10,95,"fuzhou","2015-05-17"
"lanzhou",102,68,136,10,6,13,136,"lanzhou","2015-05-17"
"guangzhou",97,52,1,26,2,8,97,"guangzhou","2015-05-17"
"guiyang",154,61,45,21,23,7,154,"guiyang","2015-05-17"
"haikou",53,20,17,4,1,5,53,"haikou","2015-05-17"
"shijiazhuang",181,102,21,11,18,3,181,"shijiazhuang","2015-05-17"
"haerbin",59,72,119,25,9,5,119,"haerbin","2015-05-17"
"zhengzhou",124,84,167,12,5,12,167,"zhengzhou","2015-05-17"
"wuhan",156,1,50,50,7,12,156,"wuhan","2015-05-17"
"changsha",152,61,16,3,12,4,152,"changsha","2015-05-17"
"nanjing",107,67,137,13,10,0,137,"nanjing","2015-05-17"
"nanchang",107,57,62,9,8,10,107,"nanchang","2015-05-17"
"changchun",87,64,36,23,6,6,87,"changchun","2015-05-17"
"shenyang",178,119,69,17,8,10,178,"shenyang","2015-05-17"
"xining",153,77,44,10,5,9,153,"xining","2015-05-17"
"xian",154,96,65,22,13,16,154,"xian","2015-05-17"
"jinan",222,128,109,12,24,9,222,"jinan","2015-05-17"
"taiyuan",164,137,152,37,20,15,164,"taiyuan","2015-05-17"
"chengdu",147,46,114,12,4,6,147,"chengdu","2015-05-17"
"kunming",97,55,69,11,7,7,97,"kunming","2015-05-17"
"hangzhou",124,60,124,33,21,7,124,"hangzhou","2015-05-17"
"nanning",55,21,45,4,3,8,55,"nanning","2015-05-17"
"huhehaote",63,44,43,21,8,5,63,"huhehaote","2015-05-17"
"yinchuan",80,62,34,10,18,5,80,"yinchuan","2015-05-17"
"lhasa",25,38,46,14,12,8,46,"lhasa","2015-05-17"
"wulumuqi",117,87,95,22,5,14,117,"wulumuqi","2015-05-17"
"beijing",191,122,158,11,17,10,191,"beijing","2015-05-17"
"chongqing",107,63,24,35,10,11,107,"chongqing","2015-05-17"
"hongkong",60,27,4,31,2,5,60,"hongkong","2015-05-17"
"zhuhai",59,33,30,21,4,11,59,"zhuhai","2015-05-17"
"shanghai",80,31,46,17,7,5,80,"shanghai","2015-05-17"
"tianjin",161,68,68,6,4,8,161,"tianjin","2015-05-17"
"xiamen",85,50,29,5,2,6,85,"xiamen","2015-05-17"
"shenzhen",59,49,29,16,6,10,59,"shenzhen","2015-05-17"
"dalian",127,66,130,12,12,9,130,"dalian","2015-05-17"
"qingdao",107,65,106,18,10,10,107,"qingdao","2015-05-17"
"ningbo",149,72,64,26,13,9,149,"ningbo","2015-05-17"
